positive lift,helium,burst alt,ascent rate,ascent time,hours,ascent time * 10
,,,,,,
5,117.018519,40490,0.345205176,1954.876057,32.58126762,19548.76057
10,117.198271,40460,0.487944126,1381.988833,23.03314721,13819.88833
20,117.5577749,40460,0.68935306,978.2118512,16.30353085,9782.118512
30,117.9172788,40430,0.843422742,798.9271569,13.31545261,7989.271569
40,118.2767827,40400,0.972912965,692.0797211,11.53466202,6920.797211
50,118.6362866,40380,1.086649914,619.3347015,10.32224502,6193.347015
60,118.9957905,40350,1.189165374,565.522689,9.425378151,5655.22689
70,119.3552944,40350,1.283154505,524.0990054,8.734983424,5240.990054
80,119.7147983,40320,1.370375367,490.3765905,8.172943174,4903.765905
90,120.0743022,40290,1.45205052,462.4494744,7.70749124,4624.494744
100,120.4338061,40270,1.529071142,438.9375015,7.315625025,4389.375015
150,122.2313256,40160,1.863496658,359.1813972,5.986356621,3591.813972
200,124.0288451,40050,2.141334893,311.7214417,5.195357362,3117.214417
250,125.8263646,39940,2.382630063,279.3831392,4.656385654,2793.831392
300,127.6238841,39840,2.597728769,255.6079018,4.260131696,2556.079018
350,129.4214035,39740,2.792817023,237.156007,3.952600116,2371.56007
400,131.218923,39630,2.971951163,222.2445672,3.70407612,2222.445672
450,133.0164425,39530,3.137966551,209.9554991,3.499258319,2099.554991
500,134.813962,39440,3.292940427,199.6189569,3.326982615,1996.189569
550,136.6114815,39340,3.438450476,190.6866687,3.178111145,1906.866687
600,138.409001,39240,3.575729656,182.8997332,3.048328887,1828.997332
650,140.2065205,39150,3.705764105,176.0770469,2.934617448,1760.770469
700,142.00404,39060,3.829357819,170.0023949,2.833373248,1700.023949
750,143.8015595,38970,3.947176946,164.5479817,2.742466362,1645.479817
800,145.599079,38880,4.059781063,159.6145186,2.660241977,1596.145186
850,147.3965985,38790,4.167645828,155.1235462,2.585392436,1551.235462
900,149.194118,38700,4.271179763,151.0121409,2.516869015,1510.121409
950,150.9916375,38610,4.370736923,147.229177,2.453819616,1472.29177
1000,152.789157,38530,4.466626632,143.7699453,2.396165755,1437.699453
1500,170.7643519,37720,5.271372671,119.2605239,1.987675399,1192.605239
1800,181.5494689,37290,5.657810807,109.8481411,1.830802352,1098.481411
1900,185.1445079,37150,5.774978236,107.2154113,1.786923521,1072.154113
2100,192.3345858,36880,5.994703133,102.5349635,1.708916058,1025.349635
2300,199.5246638,36620,6.197390822,98.48230503,1.64137175,984.8230503
2400,203.1197028,36490,6.293111588,96.64005766,1.610667628,966.4005766
2500,206.7147418,36370,6.385428071,94.92968364,1.582161394,949.2968364
2700,213.9048198,36120,6.560730342,91.75807701,1.529301283,917.5807701